ev_id,severity_class,invest_type_binary,visual_condition,light_conditions,sky_conditions,person_involved,pilot_hours_bracket,year,month,combined_text,acft_make,acft_model,crew_age_mean,finding_description_agg,occurrence_description_agg,employment_qoq_pct,fuel_cost_qoq_pct,operating_revenue_qoq_pct,load_factor_qoq_pct,employment_bracket,fuel_bracket,revenue_bracket,loadfactor_bracket,_source
20000101001159I,2.0,,Unknown,Daylight,UNK,Unknown,Unknown,2000,1,"(-23) ON SATURDAY, JANUARY 1, 2000, AT 1206 LOCAL, ALLEGHENY AIRLINES D/B/A US AIR EXPRESS, DHC-8-102, N841EX, DIVE

(-23) ON SATURDAY, JANUARY 1, 2000, AT 1206 LOCAL, ALLEGHENY AIRLINES D/B/A US AIR EXPRESS, DHC-8-102, N841EX, DIVERTED INTO BGM DUE TO A POSSIBLE VIBRATION IN THE PROPELLER.  THE AIRCRAFT LANDED ON RUNWAY 28 AND TAXIED TO THE RAMP WITHOUT INCIDENT.  MAINTENANCE INSPECTED THE ENGINE, PROPELLER AND ENGINE MOUNTS WITH NO DEFECTWS FOUND.  DURING THE ENGINE RUN AFTER INSPECTION, THE VIBRATION WAS STILL PRESENT.  AFTER INSPECTING THE REST OF THE AIRCRAFT, THE LEFT OUTBOARD HOPRIZONTAL STAB DEICE BOOT WAS FOUND TO BE PEELING OFF THE TOP OF THE STAB SURFACE.  THE BOOT WOULD FLAP IN THE PROP WASH DURING ENGINE RUNS.  MAINTENANCE REPLACED THE LEADING EDGE AND BOOT ASSEMBLY AND RETURNED THE AIRCRAFT TO SERVICE.  THIS INCIDENT IS CONSIDERED CLOSED.",DHAV,DHC8102,,"OPDEF, Other Than Pi;3010",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000102000169I,2.0,,Unknown,Unknown,UNK,Unknown,Unknown,2000,1,"(-23) ON 1/3/2000, DELTA AIRCRAFT N322DL, FLIGHT #2588, A BOEING 737-200, WAS INB0UND TO KANSAS CITY, AND DECLARED

(-23) ON 1/3/2000, DELTA AIRCRAFT N322DL, FLIGHT #2588, A BOEING 737-200, WAS INB0UND TO KANSAS CITY, AND DECLARED AN EMERGENCY.  WHEN THEY LOWERED THEIR FLAPS, HYDRAULIC QUANTITY DECREASED TO ZERO AND SYSTEM ""A"" LOW PRESSURE LIGHT ILLUMINATED.  THE AIRCRAFT LANDED WITHOUT INCIDENT.  DELTA MAINTENANCE INSPECTED THE AIRCRAFT AND FOUND THAT A HIGH PRESSURE LINE FROM THE LEFT ENGINE DRIVEN PUMP TO THE ENGINE PYLON WAS RUPTURED.  THE PART NUMBER OF THE LINE WAS 65-46858-1103.  THE LINE WAS REPLACED AND THE AIRCRAFT WAS DISPATCHED WITHOUT FURTHER INCIDENT.  THIS INCIDENT, CE2000IAC014, IS CONSIDERED CLOSED WITH THE FILING OF THIS REPORT.  REFERENCE PTRS#:  CE2000B0248.",BOEING,737232,,"OPDEF, Other Than Pi;2910",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000102000949I,2.0,,Unknown,Daylight,UNK,Unknown,Unknown,2000,1,"(-23) ON SUNDAY, JANUARY 2, 2000, AT 1239 LOCAL, A VANGUARD AIRLINES B-737, N209US, FLIGHT 734 PERFORMED AN AIR TUR

(-23) ON SUNDAY, JANUARY 2, 2000, AT 1239 LOCAL, A VANGUARD AIRLINES B-737, N209US, FLIGHT 734 PERFORMED AN AIR TURNBACK DUE TO THE NUMBER ONE OVERHEAT LIGHT ILLUMINATING.  THE AIRCRAFT LANDED ON RUNWAY 23 AT BUF AND TAXIED TO THE GATE WITHOUT INCIDENT.  CONTRACT MAINTENANCE INSPECTED THE NUMBER ONE ENGINE AND FOUND NO DISCREPANCIES.  THE AIRCRAFT HAD PREVIOUSLY DEPARTED AS FLIGHT 938 AT 0824 LOCAL AND RETURNED TO BUF WITH THE SAME PROBLEM.  MAINTENANCE FOUND THE 13TH STAGE BLEED AIR DUCT CRACKED.  THEY REMOVED AND REPLACED THE DUCT PER MM75-10-00.  THE ENGINE WAS RUN WITH NO DEFECTS NOTED AND RETURNED TO SERVICE.  THIS INCIDENT IS CONSIDERED CLOSED.",BOEING,737222,,"OPDEF, Other Than Pi;3610",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000102022139I,2.0,,Unknown,Daylight,UNK,Other,Unknown,2000,1,"(-23)^PRIVACY DATA OMI^ AND HIS BROTHER, ^PRIVACY DATA OMITT^, ARE ALLEGED TO HAVE DISRUPTED A FLIGHT AND INTERFERE

(-23)^PRIVACY DATA OMI^ AND HIS BROTHER, ^PRIVACY DATA OMITT^, ARE ALLEGED TO HAVE DISRUPTED A FLIGHT AND INTERFERED WITH CREW MEMBERS IN THE PERFORMANCE OF THEIR DUTIES BY THEIR IMPROPER AND ALARMING UTTERANCES CONCERNING THE FLIGHT'S SAFETY. AS A RESULT OF THEIR CONDUCT, THE CAPTAIN HAD THEM REMOVED FROM THE FLIGHT.",,,,"Miscellaneous, Other;Cntl Intfr By Passen",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000102026219I,2.0,,Unknown,Daylight,UNK,Unknown,Unknown,2000,1,"(-23)AIRCRAFT WAS IN-FLIGHT FROM MIA TO DCA, IT DIVERTED TO RUD BECAUSE STRONG BURNING SMELL IN COCKPIT.  MAINTENAN

(-23)AIRCRAFT WAS IN-FLIGHT FROM MIA TO DCA, IT DIVERTED TO RUD BECAUSE STRONG BURNING SMELL IN COCKPIT.  MAINTENANCE AT RDU PERFORMED EXTENSIVE TROUBLESHOOTING COULD NOT FIND THE PROBLEM.  ACFT WAS FERRIED TO MIA, TO FURTHER INVESTIGATE.  ON FERRY FLIGHT FOUND ""OBSERVERS AUDIO SELECT PANEL"" OF HAVING THE BURNING SMELL.  CREW PLACARDED COMPONENT, UPON LANDING IN MIA MAINTENANCE CHANGED AUDIO SELECT PANEL.",DOUG,DC982,,"OPDEF, Other Than Pi;2300",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000104000559I,2.0,,Unknown,Daylight,UNK,Unknown,Unknown,2000,1,"(-23) ON JANUARY 4, 2000, VANGUARD AIRLINES, FLIGHT 819, A BOEING 737, WAS ENROUTE FROM MCI TO DFW.  UPON TAXI, THE

(-23) ON JANUARY 4, 2000, VANGUARD AIRLINES, FLIGHT 819, A BOEING 737, WAS ENROUTE FROM MCI TO DFW.  UPON TAXI, THE NUMBER TWO ENGINE EPR INDICATOR FAILED.  NO EMERGENCY WAS DECLARED AND THE PILOT TAXIED THE AIRCRAFT BACK TO THE GATE AT MCI.  VANGUARD MAINTENANCE RESET THE CIRCUIT BREAKER FOR THE NUMBER TWO EPR.  ON ENGINE RUN THE NUMBER TWO EPR INDICATOR WAS NORMAL IN ACCORDANCE WITH THE MAINTENANCE MANUAL REFERANCE 77-11-0.  THE AIRCRAFT WAS RETURNED TO SERVICE AND THE FLIGHT CONTINUED WITH ONLY A DELAY.  WITH THIS REPORT INCIDENT NUMBER, CE2000IA IS CONSIDERED CLOSED.",BOEING,737200A,,Undetermined;7711,,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000106002589I,2.0,,VMC,Unknown,UNK,PIC,Unknown,2000,1,"THIS INCIDNET OCCURED DURING A POWER BACK DEPARTURE FROM GATE 33A AT DFW. GUIDEMAN BRIEFED CAPT THAT A TAIL LEFT WO

THIS INCIDNET OCCURED DURING A POWER BACK DEPARTURE FROM GATE 33A AT DFW. GUIDEMAN BRIEFED CAPT THAT A TAIL LEFT WOULD BE DIRECTED, NORMAL FOR THIS GATE.  AFTER A/C CROSSED TURNING POINT A TAIL SOUTH WAS DIRECTED.  EITHER THE TURN WAS LATE OR PILOT DIDN'T START TURN IMMEDIATLY, IT BECAME APPARNET TO THE WING WALKER THAT THE A/C TURN WOULD BRING CLOSE PROXIMI OF A LARGE VACUMM TRUCK THAT WAS CLEANING OUT A SEWER PIPE.  THE WING WALKER RAN BACK TO GET THE ATTENTION OF THE QUIDEMAN TO SIGNAL A STOP, BY THIS TIME THE A/C WAS ENTERING A DOWN SLOPE AREA AND COULD NOT STOP.  A/C CAME IN CONTACT WITH TRUCK WITH TAILCONE.  CAPT FILED ASAP RPT AND RCVD COUNSELING GROM FHIEF PILOT.  GOUND CREW WAS COUNSELED AND RCVD REM TRNG.",DOUG,DC983,,Pilot and Ground Cre;Fail Avd Objs Or Obs,,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000111000409I,2.0,,Unknown,Daylight,UNK,Unknown,Unknown,2000,1,"(-23) ON TUESDAY, 1/11/2000 AT 1116 LOCAL, A PIEDMONT AIRLINES (D/B/A USAIR EXPRESS) REPORTED A CAPTAIN'S SIDE WIND

(-23) ON TUESDAY, 1/11/2000 AT 1116 LOCAL, A PIEDMONT AIRLINES (D/B/A USAIR EXPRESS) REPORTED A CAPTAIN'S SIDE WINDOW CRACKED.  THE AIRCRAFT LANDED ON RUNWAY 28 AT ELMIRA CORNING AIRPORT WITHOUT INCIDENT.  CONTRACT MAINTENANCE (ELMIRA CORNING AIR SERVICE) INSPECTED THE WINDOW AND DETERMINED THAT ONLY THE OUTER NON-STRUCTURAL PANE HAD CRACKED.  THE AIRCRAFT WAS FERRIED TO THE MAIN BASE WHERE REPLACEMENT WAS MADE.  THIS INCIDENT IS CONSIDERED CLOSED.",DHAV,DHC8102,,"OPDEF, Other Than Pi;5610",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000111001089I,2.0,,IMC,Daylight,UNK,Unknown,Unknown,2000,1,"(-23) ON 1/11/00 PCAA FLIGHT 3863, DH-8, N839EX, PILOT SHUT DOWN THE #1 ENGINE DUE TO A LOW OIL PRESSURE INDICATION

(-23) ON 1/11/00 PCAA FLIGHT 3863, DH-8, N839EX, PILOT SHUT DOWN THE #1 ENGINE DUE TO A LOW OIL PRESSURE INDICATION.  THE LOW OIL PRESSURE LIGHT DID NOT ILLUMINATE IN FLIGHT HOWEVER DID COME ON AFTER ENGINE SHUT DOWN ON THE GROUND.  THE FLIGHT DEPARTED SYR AND WAS ENROUTE TO LGA WHEN THE AIRCRAFT DIVERTED TO BGM.  DURING THE INSPECTION, MAINTENANCE FOUND A BAD CANNON PLUG ON THE OIL PRESSURE GAUGE.  THE PLUG WAS REPLACED AND THE AIRCRAFT WAS RETURNED TO SERVICE.  (SEE MAINTENANCE LOG PAGE #252347, ITEM #36).",DHAV,DHC8102,,"OPDEF, Other Than Pi;7931",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000112001079I,2.0,,Unknown,Daylight,UNK,Unknown,Unknown,2000,1,"(-23) ON WEDNESDAY, JANUARY 12, 2000, AT 0737 LOCAL, AN ALLEGHENY AIRLINES D/B/A US AIR EXPRESS, DHC-8, N809EX, PER

(-23) ON WEDNESDAY, JANUARY 12, 2000, AT 0737 LOCAL, AN ALLEGHENY AIRLINES D/B/A US AIR EXPRESS, DHC-8, N809EX, PERFORMED AN AIR TURNBACK TO BUF DUE TO AN ELECTOR TRIM PROBLEM. THE AIRCRAFT LANDED ON RUNWAY 23 AND TAXIED TO THE RAMP WITHOUT INCIDENT.  COMPANY MECHANIC, FRANK KLAWITTER, INSPECTED THE ELEVATOR TRIM AND FOUND IT TO BE WORKING SATISFACTORILY.  HE PROCEEDED TO LUBE BOTH TRIM ACTUATORS WITH MIL-21164 GREASE IAW MM 12-20-00 AND 12-30-37, RE-INSTALLED PANELS AND OPERATED ELEVATOR TRIM WITH NO DEFECTS NOTED.  THE AIRCRAFT WAS RETURNED TO SERVICE.  THIS INCIDENT IS CONSIDERED CLOSED.",DHAV,DHC8102,,Undetermined;2731,,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
