ev_id,entities_json,hfacs_json,relationships_json,extraction_status
20121216X01302,"[{""text"": ""operator_mental, unsafe_skill"", ""role"": ""hfacs_classifications""}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""unsafe_skill"": [""Inadvertent Flight Control Use""]}",[],success
20121216X70057,"[{""text"": ""Instrument-rated pilot"", ""role"": ""operator_mental"", ""tier"": ""HFACS""}]","{""unsafe_skill"": [""Inadvertent Flight Control Use""], ""unsafe_decision"": [""Misdiagnosed Emergency""], ""unsafe_violation"": [""Failed to Prepare for Flight""]}",[],success
20150313X75813,"[{""text"": ""Physical Fatigue, Failed to Prioritize Attention, Poor Technique, Misdiagnosed Emergency"", ""role"": ""operator_physical, unsafe_skill, unsafe_decision"", ""tier"": ""operator_physical, unsafe_skill, unsafe_decision""}]","{""operator_physical"": [""Physical Fatigue""], ""unsafe_skill"": [""Failed to Prioritize Attention"", ""Poor Technique""], ""unsafe_decision"": [""Misdiagnosed Emergency""]}",[],success
20150314X74553,[],"{""unsafe_skill"": [""Omitted Checklist Step""], ""unsafe_decision"": [""Misdiagnosed Emergency""]}",[],success
20121208X53119,"[{""text"": ""The pilot's failure to follow established engine-out procedures and to maintain a proper airspeed after the total loss of engine power on one of the airplane's two engines during the initial climb."", ""role"": ""narrative"", ""tier"": ""unsafe_decision""}, {""text"": ""Several witnesses provided similar accounts of the accident sequence. One witness, a certificated flight instructor said, 'The airplane just kept pitching up, and then it looked like a VMC roll.'"", ""role"": ""narrative"", ""tier"": ""unsafe_skill""}]","{""operator_mental"": [""Channelized Attention"", ""Distraction""], ""unsafe_skill"": [""Omitted Checklist Step""]}",[],success
20121211X41020,"[{""text"": ""noninstrument-rated pilot's improper decision to depart in dark, night marginal visual flight rules conditions, which resulted in his spatial disorientation and subsequent loss of airplane control."", ""role"": null, ""tier"": null}]","{""operator_mental"": [""Channelized Attention"", ""Distraction"", ""Mental Fatigue""], ""unsafe_decision"": [""Improper Procedure"", ""Misdiagnosed Emergency"", ""Exceeded Ability"", ""Inappropriate Maneuver"", ""Poor Decision""]}",[],success
20121203X62629,"[{""text"": ""Distraction, Mental Fatigue, Misdiagnosed Emergency"", ""role"": ""operator_mental, unsafe_decision""}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""unsafe_decision"": [""Misdiagnosed Emergency""]}",[],success
20111025X10819,"[{""text"": ""Pilot, CFI and private pilot receiving instruction in the Piper"", ""role"": ""operator_mental"", ""tier"": ""operator_mental""}]","{""operator_mental"": [""Channelized Attention"", ""Distraction""], ""unsafe_decision"": [""Misdiagnosed Emergency""]}",[],success
20160418X04320,"[{""text"": ""The pilot's decision to takeoff on the grass runway given the conditions at the time; his excessive aft control input during the takeoff roll, which resulted in the aft fuselage contacting the runway surface; and his failure to attain sufficient airspeed and exceedance of the airplane's critical angle of attack, which resulted in an aerodynamic stall."", ""role"": ""narrative"", ""tier"": ""unsafe_skill""}]","{""operator_physical"": [""Physical Fatigue""], ""unsafe_decision"": [""Improper Procedure"", ""Inappropriate Maneuver"", ""Poor Decision""], ""unsafe_skill"": [""Over-controlled Aircraft""]}",[],success
20080211X00172,"[{""text"": ""Pilot - C"", ""role"": ""operator_mental""}]","{""operator_mental"": [""Complacency"", ""Distraction"", ""Haste"", ""Misplaced Motivation""]}",[],success
