c5	c1	c2	c3	c4	c6	c7	c8	c9	c10	c75	c132	c134	c136	c138	c139	c140	c141	c144	c145	c147	c149	c151	c152	c153	c155	c157	c160	c162	c203	c204	c214	c233	c234	c790	c22	c23	c24	c25	c26	c27	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c102	c104	c106	c108	c110	c112	c113	c114	c115	c117	c118	c143	c240	c241	c242	c243	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c76	c250	c205	c206	c207	c208	c210	c41	c43	c45	c47	c49	c50	c52	c53	c54	c55	c56	c57	c58	c59	c119	c120	c121	c122	c126	c127	c128	c129	c130	c78	c80	c82	c84	c86	c88	c90	c92	c94	c96	c98	c100	c111	c123	c124	c125	c184	c192	c244	c40	c44	c46	c48	c51	c77	c79	c81	c83	c85	c87	c89	c91	c93	c95	c97	c99	c101	c103	c105	c107	c109	c131	c133	c135	c137	c146	c148	c150	c154	c156	c158	c161	c163	c183	c191	c229	c230	end_of_record
20150101000039A	A	091	   	 	2015	01	01	20150101	2130	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	211166	00003	 	 	 	 	657MC	PIPER 	PA 46-350P  	      	        	  	STRD	3946 	* 	  	LYCOMI	TI0-540 SER  	      	        	  	     	SO	SO35	FL	APALACHICOLA   		14L 	AAF 														DRY		AAF 					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150129			20150209	20200131	01	N						1545 		30   	2633 				DURING TAXI TO A DESIGNATED AREA TO PARK, HIT POLE ON LEADING EDGE, ABOUT MIDDLE OF LEFT WING.                     	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TX	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Taxi                	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150101000239A	A	091	   	 	2015	01	01	20150101	1628	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	CV	  	  	211243	00023	 	 	 	 	2841N	CESSNA	140         	      	        	  	STRD	1682 	* 	  	      	             	      	        	  	     	WP	WP07	AZ	YUMA           						32 43N	11428W																	2  	1  	0 	1 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0  	2  	20150210				20200131	01	N						100  		6    	100  				ON JANUARY 1, 2015 ^PRIVACY DATA OMITTED^ OPERATED N2841N (CESSNA 140 SERIAL #13102) ATTEMPTING TO TAKEOFF FROM A P	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	TD	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Takeoff: Departure R	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20150102000479A	A	091	   	 	2015	01	02	20150102	1730	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	211278	00047	 	 	 	 	516VB	DAYTON	STORM       	      	        	  	EXPT		* 	  	SUZUKI	G13BB        	      	        	  	     	SO	SO15	FL	EUSTIS         	MID FLORIDA AIR SERVICE       	36C 	KX55														DRY		KX55					1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150219				20200131	F9	N						11   			12000				ON JANUARY 2ND 2015 ABOUT 1730 LOCAL TIME, AN EXPERIMENTAL AMATEUR BUILT, WEIGHT SHIFT CONTROL TRIKE WAS SUBSTANTIA	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LA	S	 	   	 	 	 	 	 	 	A/LINE TRANSPORT PLT	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Approach   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150102000709A	A	091	   	 	2015	01	02	20150102	1755	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	211305	00070	 	 	 	 	81291	PIPER 	PA-34-200T  	      	        	  	STRD	7605 	* 	  	CONT M	TSIO-360-EB  	360   	        	  	     	CE	CE17	KY	KUTTAWA        																								5  	4  	3 	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	4  	1  	20150223			20150508	20200131	F3	N									2300 				N81291 WAS ON AN IFR FLIGHT PLAN FROM TALLASSEE, FL EN-ROUTE TO MT. VERNON, IL.  MEMPHIS CENTER RECEIVED A DISTRESS	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	CR	D	 	   	 	 	 	 	 	 	COMM PILOT FLIGHT IN	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Cruise/Level Flight 	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150102001609A	A	091	   	 	2015	01	02	20150102	1640	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	SD	  	  	211429	00160	 	 	 	 	3183T	ROBINS	R44 II      	      	        	  	STRD	451  	* 	  	LYCOMI	IO-540-AE1A5 	L-3165	        	  	     	SO	SO63	PR	BARRANQUITAS   						18 12N	66 17W																	3  	2  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150312				20200131	01	N						36   		59   	443  				ON JANUARY 02, 2015 AT APPROXIMATELY 21:18Z, A ROBINSON HELICOPTER R-44II (N3183T) WAS SUBSTANTIALLY DESTROYED AFTE	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LT	D	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Touchdown  	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Skids                         	                    	                    	                    	                    			 
20150102002209I	I	091	   	 	2015	01	02	20150102	1547	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	CV	  	  	211500	00220	 	 	 	 	1270A	PIPER 	PA-18       	      	        	  	STRD	343  	* 	  	LYCOMI	0-290 SERIES 	      	        	  	     	AL	AL03	AK	BELUGA LAKE    						61 26N	15140W																	1  	0  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150331				20200131	F3	N						75   		35   	3466 				THE WEATHER WAS CLEAR AND IT WAS A ?BEAUTIFUL DAY TO FLY?.  PIC STATED SHE HAD MADE 4 OR 5 PASSES TO A FROZEN SANDB	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LR	M	 	   	 	 	 	 	 	 	COMM PILOT FLIGHT IN	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Rollout    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
20150103000029I	I	091	   	 	2015	01	03	20150103	1630	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	TR	  	  	211116	00002	 	 	 	 	20DP 	PIPER 	PA-46-310P  	      	        	  	STRD		* 	  	CONT M	TSIO-520 SER 	      	        	  	     	SW	SW09	TX	BEAUMONT       																								2  	1  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150123				20150123	03	N									3100 				N20DP A PIPER PA-46 OPERATED BY THE ^PRIVACY DATA OMITTED^ WAS ON AN IFR FLIGHT PLAN FROM GUNNISON REGIONAL AIRPORT	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LA	S	 	   	 	 	 	 	 	 	COMMERCIAL PILOT    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Approach   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    	19510404		 
20150103000109A	A	091	   	 	2015	01	03	20150103	1020	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	211200	00010	 	 	 	 	2534X	CESSNA	P206        	      	        	  	STRD	4399 	* 	  	CONT M	IO 520 SERIES	520   	        	  	     	SO	SO19	FL	KEY WEST       	KEY WEST INTL                 		EYW 																EYW 					6  	5  	0 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	1  	20150204				20200131	F9	N						24   		171  	8540 				ON 3 JAN 1015, N2534X, CE-206, DEPARTED NAPLES, FLORIDA, A PART 91 VFR FLIGHT, TO KEY WEST, FLORIDA. ON APPROACH TO	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LA	S	 	   	 	 	 	 	 	 	A/LINE TRANSPORT PLT	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Approach   	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150103000299A	A	091	   	 	2015	01	03	20150103	1700	9	 	 	 	 	 	 	   	1H71	1	H	7	1 	3O  	 	 	TR	  	  	211253	00029	 	 	 	 	2948U	CESSNA	172D        	      	        	  	STRD	2360 	* 	  	CONT M	0-300 SER    	      	        	  	     	WP	WP17	CA	FRESNO         																								3  	2  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150212				20200131	01	N						169  			450  				AIRCRAFT REPORTED IT WAS EXPERIENCING ENGINE TROUBLE ON DECENT. WHILE LOOKING FOR A PLACE TO LAND THE AIRCRAFT STRU	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	EX	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Descent             	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	UNDER 12501 LBS               	MONOPLANE-HIGH WING/PARA WING 	POWERED                       	                              	                              	Wheeled-Tricycle              	                    	                    	                    	                    			 
20150103005989A	A	091	   	 	2015	01	03	20150103	1345	9	 	 	 	 	 	 	   	    	 	 	 		    	 	 	CV	  	  	211904	00598	 	 	 	 	171L 	WACO C	YMF-F5C     	      	        	  	STRD	174  	* 	  	JACOBS	R-755A2M     	      	        	  	     	WP	WP15	CA	SAN LUIS OBISPO	SAN LUIS OBISPO COUNTY REGIONA	29  	SBP 			35 14N	12038W										DRY		SBP 					2  	1  	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0  	0  	20150526				20200131	01	N						1640 		26   	4085 				LANDING RUNWAY 29, PILOT STATED HE HAD A LEFT QUARTERING TAIL WIND.  MADE A NORMAL WHEEL LANDING.  LANDED NORMALLY 	N/A                           	  	    	           	  	    	      	                    	  	 	 	 	  	 	 	 	  	LR	S	 	   	 	 	 	 	 	 	PRIVATE PILOT       	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	Landing: Rollout    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                    	                              	                              	                              	                              	                              	Wheeled-Conventional          	                    	                    	                    	                    			 
