c5	c1	c2	c3	c4	c6	c7	c8	c9	c10	c75	c132	c134	c136	c138	c139	c140	c141	c144	c145	c147	c149	c151	c152	c153	c155	c157	c160	c162	c203	c204	c214	c233	c234	c790	c22	c23	c24	c25	c26	c27	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c102	c104	c106	c108	c110	c112	c113	c114	c115	c117	c118	c143	c240	c241	c242	c243	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c76	c250	c205	c206	c207	c208	c210	c41	c43	c45	c47	c49	c50	c52	c53	c54	c55	c56	c57	c58	c59	c119	c120	c121	c122	c126	c127	c128	c129	c130	c78	c80	c82	c84	c86	c88	c90	c92	c94	c96	c98	c100	c111	c123	c124	c125	c184	c192	c244	c40	c44	c46	c48	c51	c77	c79	c81	c83	c85	c87	c89	c91	c93	c95	c97	c99	c101	c103	c105	c107	c109	c131	c133	c135	c137	c146	c148	c150	c154	c156	c158	c161	c163	c183	c191	c229	c230
20200417002729I	i	91	\N	\N	2020	04	17	20200417	1600	Not A Midair	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Wheeled-Tricycle	\N	\N	223723	272	\N	\N	\N	\N	145WT	WALTER TACHIKI	TACHIKI 750 CRUZER	\N	\N	\N	Experimental/OPERATING AMATEUR BUILT AIRCRAFT	3	\N	\N	HONDA	VTECH	\N	\N	\N	\N	NM	NM07	UT	SPANISH FORK	\N	\N	SPK	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	SPK	\N	\N	\N	\N	1	0	\N	\N	1	\N	\N	0	\N	\N	\N	\N	\N	\N	0	0	20200701	\N	\N	\N	20200701	PVT	\N	\N	\N	\N	\N	\N	3	\N	3	130	\N	\N	\N	ON  THE 3RD TEST FLIGHT THEY (AIRCRAFT AND PILOT) WERE LANDING AT SPANISH FORK, A CROSS WIND CAUGHT THE AIRCRAFT IN	N/A	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Landing: Touchdown	M	\N	\N	\N	\N	\N	\N	\N	\N	PVT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Landing: Touchdown	Minor	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Wheeled-Tricycle	\N	\N	\N	\N	\N	\N
20200406002859A	a	91	\N	\N	2020	04	06	20200406	1230	Not A Midair	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Skids	\N	\N	223736	285	\N	\N	\N	\N	7007X	ROBINSON HELICOPTER	R22 BETA	\N	\N	\N	Standard	815	\N	\N	LYCOMING	O&VO-360 SER	\N	\N	\N	\N	SW	SW13	TX	SEYMOUR	N/A	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1	0	\N	\N	1	\N	\N	0	\N	\N	\N	\N	\N	\N	0	0	20200706	\N	\N	\N	20200706	INS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	WHILE OPERATING IN A RURAL AREA, SCOUTING FOR CATTLE, THE TAIL ROTOR CONTACTED A TREE LIMB, INDUCING A RIGHT YAW.  	N/A	\N	\N	\N	\N	\N	\N	\N	64	\N	\N	\N	\N	\N	\N	\N	\N	Maneuver	S	\N	\N	\N	\N	\N	\N	\N	\N	INS	\N	\N	\N	\N	6400 - TAIL ROTOR SYSTEM	\N	\N	\N	\N	\N	\N	\N	\N	Maneuver	Substantial	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Skids	\N	\N	\N	\N	\N	\N
20200203002909A	a	91	\N	\N	2020	02	03	20200203	1325	Not A Midair	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Wheeled-Tricycle	\N	\N	223741	290	\N	\N	\N	\N	711PF	PIPER	PA-32-300	\N	\N	\N	Standard	4491	\N	\N	LYCOMING	TI0-540 SER	\N	\N	\N	\N	SW	SW15	OK	KINGFISHER	KINGFISHER	18	F92	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Dry	\N	F92	\N	\N	\N	\N	3	2	\N	\N	1	\N	\N	0	\N	\N	\N	\N	\N	\N	0	0	20200706	\N	\N	\N	20250513	PVT	\N	\N	\N	\N	\N	\N	5	\N	23	105	\N	\N	\N	AIRCRAFT WAS ON A DAY VFR CROSS COUNTRY FLIGHT FROM MKC TO F92. AIRCRAFT LANDED ON RUNWAY 18 WITH A QUARTERING TAIL	N/A	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Landing: Rollout	S	\N	\N	\N	\N	\N	\N	\N	\N	PVT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Landing: Rollout	Substantial	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Wheeled-Tricycle	\N	\N	\N	\N	\N	\N
20200204002839I	i	91	\N	\N	2020	02	04	20200204	1353	Not A Midair	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Wheeled-Tricycle	\N	\N	223734	283	\N	\N	\N	\N	8980P	PIPER	PA-24-260	\N	\N	\N	Standard	5937	\N	\N	LYCOMING	TI0-540 SER	\N	\N	\N	\N	SO	SO15	FL	BARTOW	BARTOW MUNICIPAL AIRPORT	\N	BOW	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	BOW	\N	\N	\N	\N	2	0	\N	\N	2	\N	\N	0	\N	\N	\N	\N	\N	\N	0	0	20200706	\N	\N	\N	20200706	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	AIRCRAFT ATTEMPTED TAKE OFF FOR A MAINTENANCE CHECK FLIGHT AFTER ANNUAL INSPECTION AND ENGINE CYLINDER REPLACEMENT 	N/A	\N	\N	\N	\N	\N	\N	\N	32	\N	\N	\N	\N	\N	\N	\N	\N	Takeoff: Departure Roll	M	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	3200 - LANDING GEAR SYSTEM	\N	\N	\N	\N	\N	\N	\N	\N	Takeoff: Departure Roll	Minor	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Wheeled-Tricycle	\N	\N	\N	\N	\N	\N
20200402002919I	i	91	\N	\N	2020	04	02	20200402	1837	Not A Midair	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Wheeled-Tricycle	\N	\N	223742	291	\N	\N	\N	\N	636CB	TEXTRON AVIATION INC	172S	\N	\N	\N	Standard	767	\N	\N	LYCOMING	IO-360-L2A	\N	\N	\N	\N	GL	GL03	IL	WHEELING	\N	\N	PWK	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Dry	\N	PWK	\N	\N	\N	\N	1	0	\N	\N	1	\N	\N	0	\N	\N	\N	\N	\N	\N	0	0	20200706	\N	\N	\N	20200706	STU	\N	\N	\N	\N	\N	\N	68	\N	63	84	\N	\N	\N	ON APRIL 2, 2020, THE PILOT IN COMMAND (PIC) OF N636CB, A CESSNA C172 AIRCRAFT, WAS PRACTICING TAKEOFFS AND LANDING	N/A	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Landing: Rollout	M	\N	\N	\N	\N	\N	\N	\N	\N	STU	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Landing: Rollout	Minor	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Wheeled-Tricycle	\N	\N	\N	\N	\N	\N
20200402002899I	i	141	\N	\N	2020	04	02	20200402	2205	Not A Midair	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Wheeled-Tricycle	\N	\N	223740	289	\N	\N	\N	\N	223TU	COSTRUZIONI AERONAUTICHE TECNA	P2006T	\N	\N	\N	Standard	1170	\N	\N	ROTAX	912S3	\N	\N	\N	\N	WP	WP17	CA	ATWATER	CASTLE AIRPORT	13	MER	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Dry	\N	MER	\N	\N	\N	\N	2	0	0	0	2	0	0	0	0	0	\N	\N	\N	\N	0	0	20200706	\N	\N	\N	20200706	INS	\N	\N	\N	\N	\N	\N	283	\N	223	971	\N	\N	\N	-ACCORDING TO THE PIC: \n"WE WERE APPROACHING KMER FROM THE WEST AT 5,500' MSL AS WE HAD DEPARTED FROM KLVK AFTER A 	IASCO	\N	NN3S	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Landing: Touchdown	M	\N	\N	\N	\N	\N	\N	\N	\N	INS	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Landing: Touchdown	Minor	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Wheeled-Tricycle	\N	\N	\N	\N	\N	\N
20200409002819A	a	91	\N	\N	2020	04	09	20200409	1135	Not A Midair	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Wheeled-Conventional	\N	\N	223732	281	\N	\N	\N	\N	9065F	BUCKMAN DONALD F	BUCKS SPECIAL	\N	\N	\N	Experimental/OPERATING AMATEUR BUILT AIRCRAFT	253	\N	\N	BOMBARDIER	ROTAX (ALL)	\N	\N	\N	\N	NM	NM13	WA	PRESCOTT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2	0	\N	\N	2	\N	\N	0	\N	\N	\N	\N	\N	\N	0	0	20200706	\N	\N	\N	20200706	PVT	\N	\N	\N	\N	\N	\N	2	\N	47	351	\N	\N	\N	DURING TAKEOFF AND CLIMB, PILOT STATED THAT THE AIRCRAFT WAS NOT CLIMBING OR MAKING ENOUGH POWER TO CLEAR POWER LIN	N/A	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Takeoff: Climb Out	S	\N	\N	\N	\N	\N	\N	\N	\N	PVT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Takeoff: Climb Out	Substantial	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Wheeled-Conventional	\N	\N	\N	\N	\N	\N
20200205002809I	i	91	\N	\N	2020	02	05	20200205	1330	Not A Midair	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Wheeled-Tricycle	\N	\N	223731	280	\N	\N	\N	\N	369LM	MATTESON LYNN C	KITFOX IV-1200	\N	\N	\N	Experimental/OPERATING AMATEUR BUILT AIRCRAFT	1881	\N	\N	ROTEC	R2800	7 CYL 110HP	\N	\N	\N	GL	GL23	MI	PARMA	\N	\N	\N	\N	\N	42 14N	84 38W	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1	0	\N	\N	1	\N	\N	0	\N	\N	\N	\N	\N	\N	0	0	20200706	\N	\N	\N	20200706	SPT	\N	\N	\N	\N	\N	\N	\N	\N	\N	1917	\N	\N	\N	PILOT STATES, TAKE OFF OCCURRED WITH NO INCIDENT, APPROXIMATELY .5 HRS INTO A PLANNED 1 HOUR FLIGHT AND ABOUT 23 MI	N/A	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Cruise/Level Flight	M	\N	\N	\N	\N	\N	\N	\N	\N	SPT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Cruise/Level Flight	Minor	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Wheeled-Tricycle	\N	\N	\N	\N	\N	\N
20200401002979I	i	135 ON DEMAND	\N	\N	2020	04	01	20200401	1315	Not A Midair	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Skis	\N	\N	223748	297	\N	\N	\N	\N	719KV	MD	MD-369D	\N	\N	\N	Standard	19525	\N	\N	ROLLS-ROYC	250-C20B	\N	\N	\N	\N	WP	WP13	HI	LIHUE	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1	0	\N	\N	1	\N	\N	0	\N	\N	\N	\N	\N	\N	0	0	20200706	\N	\N	\N	20200706	COM	\N	\N	\N	\N	\N	\N	\N	\N	\N	4892	\N	\N	\N	HELICOPTER LANDED ON A HELICOPTER PAD, ENGINE WAS SHUT-OFF AND BLADES SLIGHTLY ROTATING WHEN A GUST WING CAME AND O	AIRBORNE AVIATION, LLC	\N	3M3A	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Ground/Ramp/Ma	M	\N	\N	\N	\N	\N	\N	\N	\N	COM	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Ground/Ramp/Ma	Minor	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Skis	\N	\N	\N	\N	\N	\N
20200330003039I	i	91	\N	\N	2020	03	30	20200330	1100	Not A Midair	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Amphibious Hull	\N	\N	223758	303	\N	\N	\N	\N	241AV	TYSON RICHMOND	AVENTURA II	\N	\N	\N	Experimental/OPERATING AMATEUR BUILT AIRCRAFT	0	\N	\N	AEROMOMENT	AM15 SERIES	\N	\N	\N	\N	SO	SO35	FL	TAMPA	PETER O. KNIGHT	\N	TPF	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	TPF	\N	\N	\N	\N	1	0	\N	\N	1	\N	\N	0	\N	\N	\N	\N	\N	\N	0	0	20200706	\N	\N	\N	20250513	PVT	\N	\N	\N	\N	\N	\N	44	\N	27	1207	\N	\N	\N	PILOT FAILED TO FOLLOW THE CHECKLIST AND DID NOT EXTEND THE LANDING GEAR PRIOR TO LANDING.	N/A	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Landing: Approach	M	\N	\N	\N	\N	\N	\N	\N	\N	PVT	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Landing: Approach	Minor	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	Amphibious Hull	\N	\N	\N	\N	\N	\N
