c5	remark
20000101000049I	(-23) THE AIRCRAFT DEPARTED CREST AIRPARK (S36) AND WAS ON AN IFR FLIGHT PLAN TO EUGENE, OREGON, (EUG).  DURING CRUISE AT ALT. 8000 FT., ABOUT 30 MILES SOUTH OF OLYMPIA, WA, THE RIGHT ENGINE OIL PRESSURE BEGAN TO DECREASE CAUSING THE PROPELLER TO GO TO LOW PITCH.  AT ALT. 5000 FT  THE PROPELLER WAS MANUALLY FEATHERED AND THEN SEA-ATC DIRECTED THE PILOT TO THE SCAPPOOSE AIRPORT, SCAPPOOSE, OREGON.  THE AIRCRAFT UNEVENTFULLY LANDED.  THE MECHANIC FOUND THAT THE OIL PRESSURE REGULATOR SPRING, LYCOMING PN 68668, WAS BROKEN.  THE SPRING WAS REPLACED AND THEN THE ENGINE OPERATED NORMALLY.  THE MECHANIC SUBMITTED AN M OR D, FAA FORM 8010-4, DATED 1/11/00, STATING AS SUCH.  DISCUSSION WITH THE AIRCRAFT'S MAINTENANCE PERSONNEL AND THE MAINTENANCE RECORDS DID NOT SHOW ANY RECENT MAINTENANCE TO THE OIL PRESSURE REGULATOR ASSEMBLY.
20000101000179I	(-23) PILOT REPORTED SMOKE IN COCKPIT AND ENGINE TROUBLE;  AIRCRAFT WAS SEEN TRAILING DARK SMOKE ON TWO MILE FINAL.  AIRCRAFT ROLLED TO A STOP ON RUNWAY 11L AT BJC, THE PILOT HOPPED OUT AND BEGAN OPENNING THE COWLING.  ARFF RESPONDED BUT DID NOT EXTINGUISH ANY FIRE NOR WAS THE PILOT AND PASSENGER TRANSPORTED.  THE AIRCRAFT SHOWED NO APPARENT DAMAGE.  INITIAL REPORTS INDICATED THE PILOT WAS IN AND OUT OF CONCIOUSNESS.  FURTHER INVESTIGATION DISCLOSED THIS WAS NOT THE CASE.  ACCORDING TO THE PILOT THE CAUSE OF PROBLEM WAS A TURBOCHARGER FAILURE.
20000101001159I	(-23) ON SATURDAY, JANUARY 1, 2000, AT 1206 LOCAL, ALLEGHENY AIRLINES D/B/A US AIR EXPRESS, DHC-8-102, N841EX, DIVERTED INTO BGM DUE TO A POSSIBLE VIBRATION IN THE PROPELLER.  THE AIRCRAFT LANDED ON RUNWAY 28 AND TAXIED TO THE RAMP WITHOUT INCIDENT.  MAINTENANCE INSPECTED THE ENGINE, PROPELLER AND ENGINE MOUNTS WITH NO DEFECTWS FOUND.  DURING THE ENGINE RUN AFTER INSPECTION, THE VIBRATION WAS STILL PRESENT.  AFTER INSPECTING THE REST OF THE AIRCRAFT, THE LEFT OUTBOARD HOPRIZONTAL STAB DEICE BOOT WAS FOUND TO BE PEELING OFF THE TOP OF THE STAB SURFACE.  THE BOOT WOULD FLAP IN THE PROP WASH DURING ENGINE RUNS.  MAINTENANCE REPLACED THE LEADING EDGE AND BOOT ASSEMBLY AND RETURNED THE AIRCRAFT TO SERVICE.  THIS INCIDENT IS CONSIDERED CLOSED.
20000101003659A	(.4)THE PILOT-IN-COMMAND (PIC) STATED HE WAS IN CRUISE FLIGHT A T 1,000 FEET, 200 KNOTS, 5 MILES FROM THE DESTINATION AIRPORT WHEN THE AIRPLANE EXPERIENCED AN IN-FLIGHT COLLISION WITH A BIRD ON THE LEADING EDGE OF THE RIGHT WING. THE PIC NOTIFIED THE CONTROL TOWER AND LANDED WITHOUT FURTHER INCIDENT.
20000101008419A	(-23) SEE ATTACHED NARRATIVE NTSB#ATLOOFA019 (.4) THE FOUR PLACE BELLANCA BL-17-30A AIRPLANE, N8821V, WAS OWNED AND OPERATED BY THE PILOT. N8821V WAS POWERED BY A FUEL INJECTED, 300 HORSE POWER CONTINENTAL MOTORS IO-520-K ENGINE. A REVIEW OF THE AIRPLANE MAINTENANCE LOGBOOKS SHOWED THAT THE LAST ANNUAL INSPECTION WAS COMPLETED ON JULY 28, 1999. THE AIRFRAME TACHOMETER WAS NOT RECOVERED AT THE ACCIDENT SITE, HOWEVER, ACCORDING TO THE AIRFRAME MAINTENANCE LOGBOOK THE LAST ENTRY WAS RECORED ON DECEMBER 24, 1999, AT 1916.5 HOURS. HISTORY OF FLIGHT: ON JANUARY 1, 2000, AT 1302 CST, A BELLANCA BL-17-30A, N8821V, COLLIDED WITH TREES AND BURST INTO FLAMES IN A HEAVILY WOODED AREA NEAR MONTEAGLE, TENNESSEE. THE PERSONAL FLIGHT WAS OPERATED BY THE PILOT UNDER THE PROVISIONS OF TITLE 14 CFR PART 91 WITH NO FLIGHT PLAN FILED.INSTRUMENT WEATHER CONDITIONS PREVAILED AT THE TIME OF THE ACCIDENT. THE AIRPLANE WAS DESTROYED; THE PRIVATE PILOT AND HIS PASSENGERS WERE FATALLY INJURED. ACCORDING TO THE INITIAL REPORT FROM LOCAL LAW ENFORCEMENT AUTHORITIES, THE FLIGHT DEPARTED ASHEVILLE, NORTH CAROLINA, AT AN UNDETERMINED TIME, AND THE EXACT ROUTE OF FLIGHT WAS NOT KNOWN.                               REPORTEDLY, THE PILOT AND HIS PASSENGER SPENT THE EVENING PRIOR TO THE ACCIDENT AT A LOCAL HOTEL IN ASHEVILLE, NORTH CAROLINA. CIRCUMSTANCES OF THE HISTORY OF FLIGHT ARE ALSO NOT KNOWN. THE FLIGHT DEPARTED ASHEVILLE, NORTH CAROLINA, AT AN UNDETERMINED TIME ON THE MORNING OF THE ACCIDENT. THE INTENDED ROUTE OF FLIGHT WAS NOT DETERMINED, A REVIEW OF THE FEDERAL AVIATION ADMINISTRATION FLIGHT SERVICE SYSTEM FAILED TO DISCLOSE THAT THE PILOT HAD RECEIVED A PRE-FLIGHT WEATHER BRIEFING FOR THE INTENDED FLIGHT. THE FLIGHT WAS FIRST HEARD ONLY SECONDS BEFORE THE AIRPLANE COLLIDED WITH TREES. ACCORDINGTO A WITNESS NEAR THE ACCIDENT SITE, HE HEARD THE AIRPLANE OVERHEAD FOLLOWED BY AHIGH REVVING ENGINE SOUND AND THE SOUND OF THE AIRPLANE COLLIDING WITH THE TREES. ANOTHER WITNESS REPORTED HEARING AN EXPLOSION DURING THE SEQUENCE OF EVENTS. SUBSEQUENT TO THE COLLISION, SMOKE WAS SIGHTED IN THE VICINITY OF THE ACCIDENT SITE. WITHIN MINUTES OF THE COLLISION, EMERGENCY RESPONSE PERSONNEL FROM SURROUNDING COUNTIES WERE ON SITE. ACCORDING TO MONTEAGLE CHIEF OF POLICE, UPON ARRIVING AT THE ACCIDENT SITE, HE NOTICED THAT FOG AND LOW CLOUDS WERE ABOUT 20 FEET ABOVE THE GROUND, AND THE MOUNTAIN TOP     WAS OBSCURED.WRECKAGE AND IMPACT INFORMATION: EXAMINATION OF THE ACCIDENT SITE DISCLOSED THAT WRECKAGE DEBRIS WAS SCATTERED OVER AN AREA APPROX. 800 FEET LONG AND 60 FEET WIDE. WRECKAGE DEBRIS WAS ORIENTATED ON A NORTHWESTERLY MAGNETIC HEADING. SEVERAL FRESHLY BROKEN TREES WERE SCATTERED ALONG THE WRECKAGE PATH. FIRE DAMAGE WAS CONFINED TO THE LAST THIRD OF THE WRECKAGE PATH. THE MAIN WRECKAGE, WHICH CONSISTED OF THE COCKPIT AND CENTER SECTION OF THE AIRFRAME, WAS HEAVILY FIRE DAMAGED. FURTHER EXAMINATION OF THE AIRFRAME DISCLOSED THAT THE AIRPLANE RESTED INVERTED AT THE ACCIDENT SITE. SEVERAL PIECES OF THE AIRFRAME INCLUDING ENGINE COWLING WERE TORN FROM THE AIRPLANE AND WERE SCATTERED THROUGHOUT THE LENGTH OF THE WRECKAGE PATH. OTHER WRECKAGE DEBRIS WAS LODGED IN TREES ALONG THE WRECKAGE PATH. THE ENGINE ASSEMBLY WAS LOCATED APPROX. 100' NW OF THE MAIN WRECKAGE. EXAMINATION OF THE ENGINE ASSEMBLY REVEALED THAT MANY EXTERNALLY INSTALLED COMPONENTS WERE TORN FROM THEIR NORMALLY INSTALLED POSTIONS. FURTHER EXAMINATION OF THE ENGINE SHOWED A LARGE HOLE ON THE TOP AND FRONT PORTIONS OF ENGINE CASE HALVES. THE THREE PROPELLER BLADES SEPARATED FROM THE ENGINE ASSEMBLY. ONE PROPERLLER   BLADE RESTED 48 FEET NW OF THE MAIN WRECKAGE THE SECOND AND THIRD PROPELLER BLADES REMAINED ATTACHED TO THE HUB ASSEMBLY AND WAS 39 FEET EAST OF THE MAIN WRECKAGE. EXAMINATION OF THE PROPELLER BLADES SHOWED TWISTING AND CHORDWISE SCRAPING ON EACH BLADE. THE EXAMINATION OF THE ENGINE FAILED TO DISCLOSE A SYSTEM MALFUNCTION OR A COMPONENT FAILURE. EXAMINATION OF THE REMAINDER OF THE AIRFRAME ALSO FA
20000102000129I	(-23) ON APPROACH TO PITTSBURGH INTL AIRPORT (PIT) ON 01/02/00, AT 2150Z VMC, N844JS, CHAUTAUQUA AIRLINES (CHQA) FLIGHT 4335 DECLARED AN EMERGENCY DUE TO AN ENGINE FLAME OUT.  THE AIRCRAFT LANDED AT PIT AIRPORT, RUNWAY 28, WITH NUMBER ONE ENGINE SHUT DOWN, ZERO FUEL IN THE LEFT TANK, AND 600 LBS IN THE RIGHT TANK.  A PRELIMINARY INVESTIGATION HAS NOTED THAT THE NUMBER ONE ENGINE FLAME OUT WAS DUE TO FUEL STARVATION.  THIS MATTER IS STILL UNDER INVESTIGATION, AND AN AMENDED INCIDENT REPORT AND ANY ACTION TAKEN WILL FOLLOW.
20000102000169I	(-23) ON 1/3/2000, DELTA AIRCRAFT N322DL, FLIGHT #2588, A BOEING 737-200, WAS INB0UND TO KANSAS CITY, AND DECLARED AN EMERGENCY.  WHEN THEY LOWERED THEIR FLAPS, HYDRAULIC QUANTITY DECREASED TO ZERO AND SYSTEM "A" LOW PRESSURE LIGHT ILLUMINATED.  THE AIRCRAFT LANDED WITHOUT INCIDENT.  DELTA MAINTENANCE INSPECTED THE AIRCRAFT AND FOUND THAT A HIGH PRESSURE LINE FROM THE LEFT ENGINE DRIVEN PUMP TO THE ENGINE PYLON WAS RUPTURED.  THE PART NUMBER OF THE LINE WAS 65-46858-1103.  THE LINE WAS REPLACED AND THE AIRCRAFT WAS DISPATCHED WITHOUT FURTHER INCIDENT.  THIS INCIDENT, CE2000IAC014, IS CONSIDERED CLOSED WITH THE FILING OF THIS REPORT.  REFERENCE PTRS#:  CE2000B0248.
20000102000199I	(-23) PILOT FORGOT TO LOWER LANDING GEAR DURING LANDING.
20000102000349I	(-23) PIC STATED THAT DURING CLIMBOUT FROM LANDING ZONE, ROTOR BLADE MADE LIGHT CONTACT WITH THE END OF A SMALL TREE BRANCH; MINOR DAMAGE TO TIP CAP RESULTED.
20000102000429A	(.19) ON JANUARY 2, 2000, AT 1820 HOURS PACIFIC STANDARD TIME, A CESSNA 172G, N3690L, WAS SUBSTANTIALLY DAMAGED DURING AN EMERGENCY LANDING ON A COUNTY ROAD AT VICTORVILLE, CALIFORNIA, FOLLOWING PARTIAL LOSS OF ENGINE POWER.  THE PRIVATE PILOT AND ONE PASSENGER WERE NOT INJURED.  VISUAL METEOROLOGICAL CONDITIONS PREVAILED FOR THE PERSONAL FLIGHT, WHICH WAS OPERATED UNDER 14 CFR PART 91 BY RIVERSIDE (CALIFORNIA) AIR SERVICE.  THE FLIGHT DEPARTED BULLHEAD CITY, ARIZONA, ABOUT 1515 AND NO FLIGHT PLAN WAS FILED. (.4) THE PILOT REPORTED THAT, 2 HOURS 15 MINUTES AFTER TAKEOFF, THE AIRPLANE'S ELECTRICAL GENERATOR FAILED AND THE AIRPLANE SUBSEQUENTLY EXPERIENCED ELECTRICAL POWER FAILURE.  HE SAID THE ENGINE THEN BEGAN TO RUN ROUGH.  THE RECENTLY LICENSED PRIVATE PILOT WAS NOT CERTAIN OF HIS POSITION AND HE MADE A PRECAUTIONARY LANDING AT DUSK ON A COUNTY ROAD.  AS THE AIRPLANE TOUCHED DOWN, THE LEFT WING STRUCK A STREET SIGN WHICH DEFLECTED THE AIRPLANE ACROSS THE HIGHWAY MEDIAN AND ACROSS THE (OPPOSITE DIRECTION) TRAFFIC LANES.  THE ACCIDENT OCCURRED 2 HOURS 45 MINUTES AFTER TAKEOFF.  THE AIRWAY DISTANCE FROM THE DEPARTURE AIRPORT TO THE INTENDED DESTINATION WAS 167 NAUTICAL MILES, AND T HE DISTANCE TO THE ACCIDENT LOCATION WAS APPROXIMATELY 142 NAUTICAL MILES. SUBSEQUENT EXAMINATION AND A TEST RUN OF THE ENGINE REVEALED NO REASON FOR THE REPORTED ROUGHNESS.
