id	rmks
20200417002729I	ON  THE 3RD TEST FLIGHT THEY (AIRCRAFT AND PILOT) WERE LANDING AT SPANISH FORK, A CROSS WIND CAUGHT THE AIRCRAFT IN
20200406002859A	WHILE OPERATING IN A RURAL AREA, SCOUTING FOR CATTLE, THE TAIL ROTOR CONTACTED A TREE LIMB, INDUCING A RIGHT YAW.  
20200203002909A	AIRCRAFT WAS ON A DAY VFR CROSS COUNTRY FLIGHT FROM MKC TO F92. AIRCRAFT LANDED ON RUNWAY 18 WITH A QUARTERING TAIL
20200204002839I	AIRCRAFT ATTEMPTED TAKE OFF FOR A MAINTENANCE CHECK FLIGHT AFTER ANNUAL INSPECTION AND ENGINE CYLINDER REPLACEMENT 
20200402002919I	ON APRIL 2, 2020, THE PILOT IN COMMAND (PIC) OF N636CB, A CESSNA C172 AIRCRAFT, WAS PRACTICING TAKEOFFS AND LANDING
20200402002899I	-ACCORDING TO THE PIC: \n"WE WERE APPROACHING KMER FROM THE WEST AT 5,500' MSL AS WE HAD DEPARTED FROM KLVK AFTER A 
20200409002819A	DURING TAKEOFF AND CLIMB, PILOT STATED THAT THE AIRCRAFT WAS NOT CLIMBING OR MAKING ENOUGH POWER TO CLEAR POWER LIN
20200205002809I	PILOT STATES, TAKE OFF OCCURRED WITH NO INCIDENT, APPROXIMATELY .5 HRS INTO A PLANNED 1 HOUR FLIGHT AND ABOUT 23 MI
20200401002979I	HELICOPTER LANDED ON A HELICOPTER PAD, ENGINE WAS SHUT-OFF AND BLADES SLIGHTLY ROTATING WHEN A GUST WING CAME AND O
20200330003039I	PILOT FAILED TO FOLLOW THE CHECKLIST AND DID NOT EXTEND THE LANDING GEAR PRIOR TO LANDING.
20200326003089I	KMKT, RWY 33, N286MK WAS BEING FLOWN BY A STUDENT PILOT PIC GOING OUT FOR HIS FIRST SOLO.  WINDS WERE 180/03 SO REL
20200402002929I	ON APR 02/2020, AT 1645 EDT, N47210, A 1941 RYAN AERONAUTICAL PT-22, REGISTERED TO "OLD AEROPLANE CO LLC", LANDED O
20200101003149I	THE PILOT OF N3276R WAS UNABLE TO GET THE LANDING GEAR DOWN AND LOCKED. AS A RESULT, THE PILOT MADE AN INTENTIONAL 
20200328003069I	DURING THE ROLL OUT PHASE OF LANDING THE AIRCRAFT WENT BEYOND THE NORMAL USE PORTION OF THE GRASS RUNWAY. ONCE THE 
20200323003119I	PART 141 OPERATION, FAA 141 CERTIFICATE 9PTS035L PILOT TRAINING CENTER FROM LANTANA ACADEMY SATELLITE CENTER OPERAT
20200106003299I	UPON LANDING AT MOBILE REGIONAL AIRPORT (KMOB) AND DURING THE ROLLOUT, THE AIRCRAFT BEGAN TO EXPERIENCE A SEVERE VI
20200229003099A	ON FEBRUARY 29, 2020 AROUND 3:00 PM N601ND DEPARTED CABOOL, MO (KTVB) RUNWAY 21.  DURING THE DEPARTURE, AFTER TURNI
20200103003209A	AIRCRAFT WAS APPROACHING TJIG AIRPORT FROM THE DOMINICAN REPUBLIC ON IFR FLIGHT PLAN. THE CAPTAIN FLYING THE AIRCRA
20200105003249A	ON JANUARY 5, 2020 AT APPROXIMATELY 1900Z, A GRUMMAN AMERICAN AA-5A SINGLE ENGINE AIRCRAFT, N9593U DEPARTED ON A VF
20200103003199I	A DIAMOND DA-42 AIRCRAFT, OPERATED BY L3 HARRIS IN SANFORD WAS ON A TRAINING FLIGHT WITH TWO ON BOARD. THE FLIGHT O
20200106003309A	AT APPROXIMATELY 1238 EST ^MR. MILWOOD ASHLEY DEKLE,^ HOLDER OF PRIVATE PILOTS CERTIFICATE ^3242200,^  DEPARTED TOC
20200104003219A	AFTER DEPARTURE, THE PILOT REPORTED TO THE VNY TOWER THAT HE HAD SMOKE OUT OF THE RIGHT STACK.  THE PILOT THEN STAT
