edge,status
operator -> severity_class,confirmed
employment_qoq -> operator,missing
employment_qoq -> severity_class,missing
fuel_qoq -> operator,missing
fuel_qoq -> severity_class,missing
light_conditions -> operator,missing
light_conditions -> severity_class,missing
light_conditions -> violation,missing
loadfactor_qoq -> operator,missing
loadfactor_qoq -> severity_class,missing
maintenance_defect -> operator,missing
maintenance_defect -> severity_class,missing
maintenance_defect -> violation,missing
operator -> violation,missing
person_involved -> operator,missing
person_involved -> violation,missing
pilot_hours_bracket -> operator,missing
pilot_hours_bracket -> violation,missing
revenue_qoq -> operator,missing
revenue_qoq -> severity_class,missing
time_of_day -> operator,missing
time_of_day -> severity_class,missing
time_of_day -> violation,missing
violation -> severity_class,missing
visual_condition -> operator,missing
visual_condition -> severity_class,missing
visual_condition -> violation,missing
