head,condition,vs,b01_helps,b10_hurts,net,p_value,significant
B,C4,C1,39,134,-95,8.889683368094669e-13,True
C,C4,C1,6,23,-17,0.0029671058986476154,True
D,C4,C1,67,19,48,4.017211792646528e-07,True
B,C5,C1,50,183,-133,5.259034218931241e-18,True
C,C5,C1,19,18,1,1.0,False
D,C5,C1,13,25,-12,0.0743529053685636,False
B,C6,C1,52,211,-159,1.9822161877262247e-22,True
C,C6,C1,19,91,-72,1.2915286827833055e-11,True
D,C6,C1,20,27,-7,0.3814705611511898,False
B,C7,C1,38,87,-49,1.7607614403288092e-05,True
C,C7,C1,11,12,-1,1.0,False
D,C7,C1,68,17,51,5.852129953947428e-08,True
B,C8,C1,33,111,-78,1.3929044487098175e-10,True
C,C8,C1,4,14,-10,0.0308837890625,True
D,C8,C1,69,19,50,1.7565069411273224e-07,True
